revenue,potential_revenue,pl_inventory_percentage
771.22,968.96,-25.64
514.7,696.78,-35.38
115.94,189.94,-63.83
572.66,751.38,-31.21
0.0,0.0,0.0
666.32,908.16,-36.29
622.38,923.34,-48.36
597.01,888.77,-48.87
0.0,0.0,0.0
0.0,0.0,0.0
258.15,420.45,-62.87
428.19,633.36,-47.92
719.82,1045.08,-45.19
176.41,216.14,-22.52
458.08,664.12,-44.98
580.2,758.31,-30.7
608.28,904.46,-48.69
725.96,995.36,-37.11
311.28,444.51,-42.8
472.48,689.23,-45.87
217.05,267.53,-23.26
694.78,852.33,-22.68
450.19,559.27,-24.23
176.37,224.39,-27.23
0.0,0.0,0.0
711.76,984.57,-38.33
205.47,260.8,-26.93
814.52,1041.48,-27.86
183.04,302.14,-65.07
638.96,890.5,-39.37
416.31,619.57,-48.82
299.89,417.82,-39.32
203.4,321.42,-58.02
867.11,1130.17,-30.34
251.32,355.81,-41.58
265.94,413.85,-55.62
238.31,311.97,-30.91
721.98,977.51,-35.39
548.81,687.5,-25.27
615.63,1003.03,-62.93
582.12,806.44,-38.54
541.46,669.59,-23.66
164.89,274.89,-66.71
608.83,902.98,-48.31
672.1,944.06,-40.46
110.14,158.91,-44.28
0.0,0.0,0.0
688.85,967.07,-40.39
57.16,77.59,-35.74
202.07,264.24,-30.77
772.17,1094.65,-41.76
331.77,569.81,-71.75
401.93,644.54,-60.36
364.68,611.07,-67.56
485.08,748.27,-54.26
298.9,414.83,-38.79
278.63,381.05,-36.76
686.87,963.56,-40.28
62.68,76.15,-21.49
572.08,785.66,-37.33
343.15,478.38,-39.41
630.01,949.94,-50.78
152.9,246.48,-61.2
0.0,0.0,0.0
227.17,331.66,-46.0
38.78,48.27,-24.47
250.05,301.76,-20.68
320.36,550.5,-71.84
360.07,545.99,-51.63
177.65,242.49,-36.5
104.53,107.03,-2.39
50.24,52.39,-4.28
88.2,88.2,0.0
494.98,714.29,-44.31
578.32,807.27,-39.59
353.23,432.78,-22.52
232.81,311.16,-33.65
857.42,1036.34,-20.87
327.86,478.91,-46.07
680.72,989.63,-45.38
392.25,552.49,-40.85
167.3,258.63,-54.59
469.92,733.65,-56.12
146.38,178.45,-21.91
165.69,228.2,-37.73
0.0,0.0,0.0
759.29,1057.95,-39.33
576.61,900.35,-56.15
160.72,224.24,-39.52
391.47,512.42,-30.9
150.99,263.01,-74.19
490.11,783.92,-59.95
577.61,745.96,-29.15
536.94,771.62,-43.71
572.38,877.95,-53.39
195.52,242.29,-23.92
104.56,147.55,-41.12
0.0,0.0,0.0
410.87,669.11,-62.85
364.55,480.18,-31.72
0.0,0.0,0.0
360.07,618.06,-71.65
358.57,518.31,-44.55
712.74,1040.47,-45.98
5.95,8.4,-41.18
90.43,95.43,-5.53
397.19,513.98,-29.4
0.0,0.0,0.0
144.92,255.97,-76.63
746.04,1004.42,-34.63
144.1,211.22,-46.58
803.68,1051.9,-30.89
508.32,782.57,-53.95
154.41,175.76,-13.83
135.47,181.27,-33.81
692.85,813.82,-17.46
486.16,633.18,-30.24
24.35,27.85,-14.37
649.92,958.05,-47.41
245.39,450.19,-83.46
93.25,119.48,-28.13
356.58,513.6,-44.03
828.18,1027.47,-24.06
303.39,479.36,-58.0
494.27,622.97,-26.04
449.27,586.93,-30.64
562.03,726.15,-29.2
479.12,808.31,-68.71
639.82,910.66,-42.33
420.09,702.03,-67.11
252.68,324.73,-28.51
304.62,418.57,-37.41
108.5,125.79,-15.94
220.03,357.53,-62.49
401.72,500.78,-24.66
124.39,180.75,-45.31
431.03,560.95,-30.14
85.89,158.58,-84.63
158.72,240.48,-51.51
227.48,276.49,-21.54
169.7,198.17,-16.78
368.45,496.9,-34.86
0.0,2.5,0.0
385.39,515.36,-33.72
745.38,1048.43,-40.66
439.23,588.86,-34.07
117.99,178.4,-51.2
390.95,560.57,-43.39
81.9,122.04,-49.01
574.93,893.26,-55.37
691.02,983.0,-42.25
180.25,298.43,-65.56
498.75,645.46,-29.42
91.08,111.84,-22.79
603.38,894.86,-48.31
0.0,0.0,0.0
0.0,0.0,0.0
47.96,95.45,-99.02
581.33,706.7,-21.57
600.77,800.49,-33.24
180.09,242.51,-34.66
142.42,201.85,-41.73
281.25,366.27,-30.23
438.56,697.32,-59.0
204.4,270.99,-32.58
513.57,656.63,-27.86
621.55,902.09,-45.14
229.63,302.02,-31.52
18.65,18.65,0.0
14.24,16.23,-13.97
304.74,372.84,-22.35
556.59,855.52,-53.71
0.0,0.0,0.0
473.48,637.02,-34.54
686.14,922.1,-34.39
0.0,0.0,0.0
440.91,561.07,-27.25
279.49,343.46,-22.89
116.94,118.93,-1.7
10.8,14.1,-30.56
437.22,741.66,-69.63
417.16,544.99,-30.64
485.65,725.11,-49.31
430.8,641.15,-48.83
84.67,160.36,-89.39
140.7,182.83,-29.94
219.38,258.76,-17.95
272.63,368.16,-35.04
0.0,0.0,0.0
425.99,558.57,-31.12
649.29,829.21,-27.71
