,num_hidden_layers,neurons_per_layer,dropout_rate,optimizer,activation_function,fitness_scores
15,3.0,95.0,0.3398756843981485,nadam,tanh,0.36723833764835245
16,3.0,97.0,0.3398756843981485,nadam,tanh,0.3666610788293384
17,3.0,54.0,0.11309953817463135,nadam,tanh,0.3885780475965354
18,2.0,100.0,0.1869519485002175,nadam,tanh,0.3426203533308797
19,3.0,87.0,0.19975421731532286,nadam,tanh,0.35114876935929573
20,2.0,89.0,0.19975421731532286,nadam,tanh,0.3824626477436194
21,2.0,85.0,0.014485933029906415,nadam,tanh,0.35777096500962435
22,2.0,89.0,0.2084752465079731,nadam,tanh,0.37343740664793296
23,4.0,110.0,0.1869519485002175,nadam,tanh,0.35569599990652623
0,2.0,93.0,0.3573950720429822,sgd,selu,0.357173469052183
1,2.0,93.0,0.19975421731532286,sgd,selu,0.3579793956361462
2,2.0,70.0,0.15968542357927834,sgd,selu,0.3798433879845645
3,6.0,85.0,0.17298116180354806,sgd,selu,0.3807856213961477
4,2.0,75.0,0.1869519485002175,sgd,selu,0.3517596968933002
5,1.0,39.0,0.2589180623217192,sgd,selu,0.38556057977110614
6,2.0,100.0,0.11309953817463135,sgd,selu,0.40191250115553523
7,2.0,69.0,0.19975421731532286,sgd,selu,0.38734725061660047
8,3.0,85.0,0.12316073143079966,sgd,selu,0.35651755082524317
9,5.0,75.0,0.17298116180354806,sgd,selu,0.38729706550759185
10,3.0,82.0,0.23204372201091866,sgd,selu,0.38311104392683343
11,3.0,82.0,0.34089661776708285,sgd,selu,0.3733835202674988
12,2.0,85.0,0.014485933029906415,sgd,selu,0.3377151332443887
13,3.0,44.0,0.1869519485002175,sgd,selu,0.37365118445963785
14,3.0,101.0,0.3398756843981485,sgd,selu,0.3547776402370353
15,3.0,95.0,0.3398756843981485,sgd,selu,0.40724207776029636
16,3.0,97.0,0.3398756843981485,sgd,selu,0.39107739113311873
17,3.0,54.0,0.11309953817463135,sgd,selu,0.37604456431081823
18,2.0,100.0,0.1869519485002175,sgd,selu,0.3943328791433879
19,3.0,87.0,0.19975421731532286,sgd,selu,0.3687765437177203
20,2.0,89.0,0.19975421731532286,sgd,selu,0.3748403927227456
21,2.0,85.0,0.014485933029906415,sgd,selu,0.37731068931068934
22,2.0,89.0,0.2084752465079731,sgd,selu,0.3573424690204876
23,4.0,110.0,0.1869519485002175,sgd,selu,0.3697560620381996
0,2.0,93.0,0.3573950720429822,rmsprop,selu,0.34415153248988484
1,2.0,93.0,0.19975421731532286,rmsprop,selu,0.3789269390079107
2,2.0,70.0,0.15968542357927834,rmsprop,selu,0.40372081252081254
3,6.0,85.0,0.17298116180354806,rmsprop,selu,0.39196985938038564
4,2.0,75.0,0.1869519485002175,rmsprop,selu,0.38079980009934766
5,1.0,39.0,0.2589180623217192,rmsprop,selu,0.3400569985569986
6,2.0,100.0,0.11309953817463135,rmsprop,selu,0.37448586478801293
7,2.0,69.0,0.19975421731532286,rmsprop,selu,0.3842539547721734
8,3.0,85.0,0.12316073143079966,rmsprop,selu,0.3470238399210158
9,5.0,75.0,0.17298116180354806,rmsprop,selu,0.39196899162069443
10,3.0,82.0,0.23204372201091866,rmsprop,selu,0.39065549929946214
11,3.0,82.0,0.34089661776708285,rmsprop,selu,0.373073459168108
12,2.0,85.0,0.014485933029906415,rmsprop,selu,0.4016274673039379
13,3.0,44.0,0.1869519485002175,rmsprop,selu,0.35919377159053273
14,3.0,101.0,0.3398756843981485,rmsprop,selu,0.36707995850303543
15,3.0,95.0,0.3398756843981485,rmsprop,selu,0.35381925442978074
16,3.0,97.0,0.3398756843981485,rmsprop,selu,0.368073266841121
17,3.0,54.0,0.11309953817463135,rmsprop,selu,0.35646268868386516
18,2.0,100.0,0.1869519485002175,rmsprop,selu,0.3783085668267855
19,3.0,87.0,0.19975421731532286,rmsprop,selu,0.3659474810526563
20,2.0,89.0,0.19975421731532286,rmsprop,selu,0.3936234126334461
21,2.0,85.0,0.014485933029906415,rmsprop,selu,0.362806438006438
